               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10147,            0.028592,            0.041077,           0.0022794,             0.46277,           0.0023693,          0.00058016,            0.080312,            0.016587,            0.036212,             0.00025,             0.00025,             0.09775
                   1,            0.082475,            0.029772,            0.034557,             0.20732,             0.48338,             0.21038,             0.09936,            0.063949,            0.015724,            0.031687,           0.0005099,           0.0005099,             0.09541
                   2,            0.070701,            0.029335,            0.032572,             0.23692,             0.67883,             0.27163,             0.16161,            0.051799,            0.013981,            0.030195,          0.00076939,          0.00076939,            0.093069
                   3,            0.057875,            0.025868,            0.031581,             0.31379,             0.57023,             0.32165,             0.17252,            0.051821,           0.0094767,            0.029228,           0.0010282,           0.0010282,            0.090728
                   4,            0.050222,            0.019873,            0.030315,             0.24629,             0.77506,             0.33335,             0.14301,            0.041761,           0.0076061,            0.027859,           0.0012859,           0.0012859,            0.088386
                   5,             0.04628,            0.016548,            0.029892,              0.2367,              0.7707,             0.33873,             0.17358,             0.03491,           0.0067805,            0.027116,           0.0015424,           0.0015424,            0.086042
                   6,            0.044586,            0.015562,            0.030162,             0.27301,             0.81453,             0.34213,             0.16832,            0.038378,            0.006207,             0.02688,           0.0017972,           0.0017972,            0.083697
                   7,            0.041615,            0.014645,            0.029026,             0.20889,             0.76058,             0.32733,             0.14969,            0.037817,           0.0063066,            0.026016,           0.0020501,           0.0020501,             0.08135
                   8,            0.041256,            0.013853,            0.030057,             0.28642,             0.82559,             0.35326,             0.17866,            0.035026,           0.0060081,            0.026815,           0.0023007,           0.0023007,            0.079001
                   9,            0.038672,            0.013165,            0.029455,             0.27316,             0.89744,             0.36993,             0.22489,            0.028907,           0.0054071,             0.02618,           0.0025489,           0.0025489,            0.076649
                  10,            0.038773,            0.013137,            0.028791,             0.27408,              0.8804,             0.37991,             0.18099,            0.035438,           0.0056843,             0.02625,           0.0027942,           0.0027942,            0.074294
                  11,            0.037727,            0.013212,            0.029131,             0.27379,              0.8645,             0.35658,             0.22359,            0.027049,           0.0052592,            0.025546,           0.0030365,           0.0030365,            0.071936
                  12,            0.035568,             0.01231,            0.027866,             0.28385,             0.81334,             0.42363,             0.23557,            0.030767,           0.0050483,            0.025366,           0.0032753,           0.0032753,            0.069575
                  13,            0.037566,            0.013066,            0.026963,             0.22819,             0.78001,             0.39929,              0.2209,            0.030851,           0.0049824,            0.025167,           0.0035106,           0.0035106,            0.067211
                  14,            0.036224,            0.012255,            0.026738,             0.31977,             0.74154,             0.46361,             0.28394,            0.033033,           0.0048401,            0.024406,           0.0037419,           0.0037419,            0.064842
