               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077991,             0.03253,            0.038029,             0.19696,             0.73686,             0.26886,             0.14684,            0.033681,            0.019501,            0.028889,             0.00131,             0.00131,             0.08821
                   1,            0.047644,            0.021386,            0.033977,             0.21634,             0.84113,             0.29888,             0.19235,            0.025384,           0.0086613,            0.027142,           0.0026277,           0.0026277,            0.076328
                   2,            0.039164,            0.015334,            0.032252,             0.30021,             0.82098,             0.38627,             0.21449,             0.02147,           0.0072965,            0.026346,            0.003936,            0.003936,            0.064436
                   3,            0.034933,            0.013084,            0.030164,             0.29726,             0.80745,             0.38725,             0.23532,            0.020862,            0.006613,            0.026144,            0.005228,            0.005228,            0.052528
                   4,            0.036119,            0.012762,            0.030038,             0.40439,             0.76374,             0.44759,             0.29997,            0.017998,           0.0065405,            0.025612,           0.0064968,           0.0064968,            0.040597
                   5,            0.034286,             0.01234,            0.027835,             0.35815,             0.72295,             0.53946,             0.34421,            0.019386,           0.0063774,            0.022174,           0.0077358,           0.0077358,            0.028636
                   6,            0.036372,            0.012099,            0.024677,             0.41475,             0.64131,             0.58557,             0.36481,            0.020905,           0.0064907,             0.02076,           0.0089383,           0.0089383,            0.016638
                   7,            0.036549,            0.012802,            0.022998,             0.48591,             0.66471,             0.61232,             0.39016,            0.020836,           0.0069614,              0.0184,           0.0095717,           0.0095717,           0.0095717
                   8,            0.036228,            0.012585,            0.019892,             0.56861,              0.7048,             0.68147,             0.43389,            0.019959,           0.0065944,            0.015734,           0.0095717,           0.0095717,           0.0095717
                   9,            0.036261,            0.012776,            0.018786,             0.49166,             0.63298,              0.6252,             0.38191,            0.021172,           0.0066777,             0.02019,           0.0094434,           0.0094434,           0.0094434
                  10,            0.034174,            0.012293,            0.015809,             0.59483,             0.76002,             0.70628,             0.46217,            0.019936,           0.0062694,            0.011873,           0.0092995,           0.0092995,           0.0092995
