               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087726,            0.051759,                   0,             0.79938,             0.53556,             0.59783,              0.2694,            0.061848,            0.044672,                   0,           0.0033292,           0.0033292,            0.070037
                   1,            0.068645,             0.04793,                   0,             0.81943,             0.59165,             0.65612,             0.30838,             0.05638,            0.043383,                   0,           0.0066256,           0.0066256,                0.04
                   2,            0.065592,            0.048289,                   0,             0.80501,              0.5415,             0.59925,             0.26917,             0.05854,            0.044768,                   0,           0.0097757,           0.0097757,           0.0098171
                   3,            0.062578,            0.048089,                   0,             0.84233,             0.60703,             0.67126,             0.32592,            0.054825,             0.04398,                   0,           0.0095095,           0.0095095,           0.0095095
                   4,            0.061085,            0.047297,                   0,             0.84328,             0.61165,             0.67718,             0.33119,            0.054505,            0.044103,                   0,           0.0095095,           0.0095095,           0.0095095
                   5,            0.059001,            0.046528,                   0,             0.86442,             0.60308,             0.67686,             0.34515,            0.052519,            0.042707,                   0,           0.0091406,           0.0091406,           0.0091406
                   6,            0.058471,            0.046416,                   0,             0.85061,             0.61246,             0.67902,             0.33169,            0.053588,            0.042978,                   0,            0.008682,            0.008682,            0.008682
                   7,            0.057221,             0.04542,                   0,             0.84857,             0.62862,             0.69343,             0.35237,             0.05188,            0.042726,                   0,            0.008145,            0.008145,            0.008145
                   8,            0.056576,            0.044377,                   0,             0.85718,             0.63745,              0.7058,             0.35108,            0.051726,            0.042819,                   0,            0.007543,            0.007543,            0.007543
                   9,            0.055917,            0.044213,                   0,             0.84966,             0.61382,              0.6818,             0.33617,             0.05301,            0.042731,                   0,           0.0068906,           0.0068906,           0.0068906
                  10,            0.055599,             0.04489,                   0,             0.85398,             0.63864,             0.70616,              0.3548,            0.051579,            0.042658,                   0,            0.006204,            0.006204,            0.006204
                  11,            0.054616,            0.043675,                   0,             0.86594,             0.65683,             0.72604,             0.37275,            0.050465,            0.042622,                   0,              0.0055,              0.0055,              0.0055
                  12,            0.054481,            0.042935,                   0,             0.85696,             0.63677,             0.70757,             0.35261,            0.051458,            0.042584,                   0,            0.004796,            0.004796,            0.004796
                  13,            0.053898,              0.0436,                   0,             0.85259,             0.62736,             0.69871,             0.34272,            0.051684,            0.042834,                   0,           0.0041094,           0.0041094,           0.0041094
                  14,            0.053191,            0.041852,                   0,             0.86355,             0.62529,             0.70273,             0.34694,            0.051872,            0.043041,                   0,            0.003457,            0.003457,            0.003457
                  15,            0.052586,            0.041741,                   0,             0.85211,             0.63849,             0.70529,             0.35533,            0.051149,            0.042677,                   0,            0.002855,            0.002855,            0.002855
                  16,            0.052772,            0.042527,                   0,             0.86293,             0.62364,             0.70267,             0.35056,            0.051155,            0.042905,                   0,            0.002318,            0.002318,            0.002318
                  17,            0.052266,            0.042101,                   0,             0.87272,             0.64883,             0.72479,             0.37276,            0.050225,            0.042953,                   0,           0.0018594,           0.0018594,           0.0018594
                  18,            0.052375,            0.041574,                   0,             0.86774,             0.64807,             0.72328,             0.36838,            0.050463,            0.043203,                   0,           0.0014905,           0.0014905,           0.0014905
                  19,            0.052048,            0.040922,                   0,             0.87633,             0.65699,              0.7321,              0.3772,            0.049967,            0.042807,                   0,           0.0012202,           0.0012202,           0.0012202
